ds,y,unique_id
2011-01-31,37184.5,Total
2011-02-28,327892.5,Total
2011-03-31,363164.0,Total
2011-04-30,353888.5,Total
2011-05-31,358332.0,Total
2011-06-30,359991.5,Total
2011-07-31,377725.0,Total
2011-08-31,377954.5,Total
2011-09-30,379897.0,Total
2011-10-31,409203.5,Total
2011-11-30,382447.5,Total
2011-12-31,400865.5,Total
2012-01-31,418433.5,Total
2012-02-29,410274.0,Total
2012-03-31,445470.5,Total
2012-04-30,429813.5,Total
2012-05-31,448656.5,Total
2012-06-30,468823.5,Total
2012-07-31,475974.0,Total
2012-08-31,487014.0,Total
2012-09-30,482301.5,Total
2012-10-31,474286.0,Total
2012-11-30,465260.5,Total
2012-12-31,480612.5,Total
2013-01-31,491760.5,Total
2013-02-28,478859.5,Total
2013-03-31,530550.0,Total
2013-04-30,499241.0,Total
2013-05-31,527355.5,Total
2013-06-30,535323.5,Total
2013-07-31,547448.5,Total
2013-08-31,559454.5,Total
2013-09-30,546853.0,Total
2013-10-31,558354.0,Total
2013-11-30,521905.5,Total
2013-12-31,517670.0,Total
2014-01-31,535166.0,Total
2014-02-28,515811.5,Total
2014-03-31,576677.0,Total
2014-04-30,558600.5,Total
2014-05-31,571381.0,Total
2014-06-30,564407.0,Total
2014-07-31,579985.5,Total
2014-08-31,598857.5,Total
2014-09-30,576398.5,Total
2014-10-31,601718.0,Total
2014-11-30,570665.5,Total
2014-12-31,556787.0,Total
2015-01-31,587899.5,Total
2015-02-28,562669.0,Total
2015-03-31,618501.0,Total
2015-04-30,604414.0,Total
2015-05-31,639912.0,Total
2015-06-30,620468.0,Total
2015-07-31,647522.5,Total
2015-08-31,659364.5,Total
2015-09-30,634325.5,Total
2015-10-31,673022.5,Total
2015-11-30,617800.0,Total
2015-12-31,620736.5,Total
2016-01-31,664597.0,Total
2016-02-29,649328.5,Total
2016-03-31,693898.5,Total
2016-04-30,702454.0,Total
2016-05-31,540045.5,Total
2011-01-31,16182.0,CA
2011-02-28,143014.0,CA
2011-03-31,158549.0,CA
2011-04-30,155169.5,CA
2011-05-31,158865.0,CA
2011-06-30,159275.0,CA
2011-07-31,168793.5,CA
2011-08-31,168780.5,CA
2011-09-30,169093.0,CA
2011-10-31,182211.5,CA
2011-11-30,169699.5,CA
2011-12-31,176992.5,CA
2012-01-31,185659.5,CA
2012-02-29,180509.0,CA
2012-03-31,199466.5,CA
2012-04-30,192223.5,CA
2012-05-31,197299.0,CA
2012-06-30,203850.0,CA
2012-07-31,206377.0,CA
2012-08-31,210337.0,CA
2012-09-30,206637.0,CA
2012-10-31,204509.0,CA
2012-11-30,191559.0,CA
2012-12-31,197625.0,CA
2013-01-31,204192.5,CA
2013-02-28,194300.5,CA
2013-03-31,220284.5,CA
2013-04-30,213009.5,CA
2013-05-31,229542.0,CA
2013-06-30,232494.0,CA
2013-07-31,240536.5,CA
2013-08-31,243943.5,CA
2013-09-30,238849.0,CA
2013-10-31,243323.5,CA
2013-11-30,225725.5,CA
2013-12-31,224450.5,CA
2014-01-31,232297.5,CA
2014-02-28,219780.5,CA
2014-03-31,246284.5,CA
2014-04-30,240196.0,CA
2014-05-31,246260.0,CA
2014-06-30,243546.5,CA
2014-07-31,250349.5,CA
2014-08-31,257817.5,CA
2014-09-30,249237.5,CA
2014-10-31,257634.5,CA
2014-11-30,244099.0,CA
2014-12-31,235130.5,CA
2015-01-31,247667.5,CA
2015-02-28,231447.0,CA
2015-03-31,259083.5,CA
2015-04-30,254819.5,CA
2015-05-31,269301.5,CA
2015-06-30,269189.0,CA
2015-07-31,282488.0,CA
2015-08-31,292115.0,CA
2015-09-30,279195.5,CA
2015-10-31,293970.5,CA
2015-11-30,266826.0,CA
2015-12-31,266258.0,CA
2016-01-31,285662.5,CA
2016-02-29,274526.5,CA
2016-03-31,296918.0,CA
2016-04-30,302751.0,CA
2016-05-31,233307.5,CA
2011-01-31,11252.0,TX
2011-02-28,99095.0,TX
2011-03-31,109416.5,TX
2011-04-30,107148.0,TX
2011-05-31,108396.5,TX
2011-06-30,108634.5,TX
2011-07-31,113775.0,TX
2011-08-31,115156.5,TX
2011-09-30,115001.5,TX
2011-10-31,125740.0,TX
2011-11-30,117582.0,TX
2011-12-31,122165.0,TX
2012-01-31,127069.5,TX
2012-02-29,124941.5,TX
2012-03-31,135374.5,TX
2012-04-30,132927.0,TX
2012-05-31,136048.0,TX
2012-06-30,139267.0,TX
2012-07-31,141829.5,TX
2012-08-31,145410.5,TX
2012-09-30,144831.5,TX
2012-10-31,143431.0,TX
2012-11-30,134023.5,TX
2012-12-31,139540.5,TX
2013-01-31,141617.0,TX
2013-02-28,141630.0,TX
2013-03-31,154800.5,TX
2013-04-30,144270.5,TX
2013-05-31,150742.0,TX
2013-06-30,153919.5,TX
2013-07-31,157419.0,TX
2013-08-31,159508.0,TX
2013-09-30,156055.5,TX
2013-10-31,159223.5,TX
2013-11-30,146564.0,TX
2013-12-31,144289.0,TX
2014-01-31,147661.0,TX
2014-02-28,144604.0,TX
2014-03-31,163110.0,TX
2014-04-30,159202.5,TX
2014-05-31,161225.5,TX
2014-06-30,160063.0,TX
2014-07-31,165131.5,TX
2014-08-31,168983.0,TX
2014-09-30,160930.5,TX
2014-10-31,169119.0,TX
2014-11-30,160405.5,TX
2014-12-31,158405.5,TX
2015-01-31,166784.0,TX
2015-02-28,162652.0,TX
2015-03-31,179233.5,TX
2015-04-30,175013.5,TX
2015-05-31,185272.0,TX
2015-06-30,174621.5,TX
2015-07-31,182125.5,TX
2015-08-31,182973.0,TX
2015-09-30,175558.5,TX
2015-10-31,184397.5,TX
2015-11-30,170857.0,TX
2015-12-31,171241.5,TX
2016-01-31,181510.5,TX
2016-02-29,179133.5,TX
2016-03-31,189705.0,TX
2016-04-30,188629.5,TX
2016-05-31,145658.5,TX
2011-01-31,9750.5,WI
2011-02-28,85783.5,WI
2011-03-31,95198.5,WI
2011-04-30,91571.0,WI
2011-05-31,91070.5,WI
2011-06-30,92082.0,WI
2011-07-31,95156.5,WI
2011-08-31,94017.5,WI
2011-09-30,95802.5,WI
2011-10-31,101252.0,WI
2011-11-30,95166.0,WI
2011-12-31,101708.0,WI
2012-01-31,105704.5,WI
2012-02-29,104823.5,WI
2012-03-31,110629.5,WI
2012-04-30,104663.0,WI
2012-05-31,115309.5,WI
2012-06-30,125706.5,WI
2012-07-31,127767.5,WI
2012-08-31,131266.5,WI
2012-09-30,130833.0,WI
2012-10-31,126346.0,WI
2012-11-30,139678.0,WI
2012-12-31,143447.0,WI
2013-01-31,145951.0,WI
2013-02-28,142929.0,WI
2013-03-31,155465.0,WI
2013-04-30,141961.0,WI
2013-05-31,147071.5,WI
2013-06-30,148910.0,WI
2013-07-31,149493.0,WI
2013-08-31,156003.0,WI
2013-09-30,151948.5,WI
2013-10-31,155807.0,WI
2013-11-30,149616.0,WI
2013-12-31,148930.5,WI
2014-01-31,155207.5,WI
2014-02-28,151427.0,WI
2014-03-31,167282.5,WI
2014-04-30,159202.0,WI
2014-05-31,163895.5,WI
2014-06-30,160797.5,WI
2014-07-31,164504.5,WI
2014-08-31,172057.0,WI
2014-09-30,166230.5,WI
2014-10-31,174964.5,WI
2014-11-30,166161.0,WI
2014-12-31,163251.0,WI
2015-01-31,173448.0,WI
2015-02-28,168570.0,WI
2015-03-31,180184.0,WI
2015-04-30,174581.0,WI
2015-05-31,185338.5,WI
2015-06-30,176657.5,WI
2015-07-31,182909.0,WI
2015-08-31,184276.5,WI
2015-09-30,179571.5,WI
2015-10-31,194654.5,WI
2015-11-30,180117.0,WI
2015-12-31,183237.0,WI
2016-01-31,197424.0,WI
2016-02-29,195668.5,WI
2016-03-31,207275.5,WI
2016-04-30,211073.5,WI
2016-05-31,161079.5,WI
2011-01-31,4453.5,CA_1
2011-02-28,38911.5,CA_1
2011-03-31,42836.0,CA_1
2011-04-30,42200.0,CA_1
2011-05-31,42302.5,CA_1
2011-06-30,43604.5,CA_1
2011-07-31,45264.5,CA_1
2011-08-31,44825.5,CA_1
2011-09-30,43919.0,CA_1
2011-10-31,47029.0,CA_1
2011-11-30,43980.0,CA_1
2011-12-31,46994.0,CA_1
2012-01-31,48699.0,CA_1
2012-02-29,47962.5,CA_1
2012-03-31,53848.0,CA_1
2012-04-30,52675.5,CA_1
2012-05-31,54270.5,CA_1
2012-06-30,56384.5,CA_1
2012-07-31,56917.5,CA_1
2012-08-31,57346.0,CA_1
2012-09-30,55455.0,CA_1
2012-10-31,53623.5,CA_1
2012-11-30,51039.0,CA_1
2012-12-31,52570.0,CA_1
2013-01-31,54520.5,CA_1
2013-02-28,53028.0,CA_1
2013-03-31,59569.5,CA_1
2013-04-30,57318.5,CA_1
2013-05-31,62035.5,CA_1
2013-06-30,63049.5,CA_1
2013-07-31,64579.0,CA_1
2013-08-31,64924.0,CA_1
2013-09-30,62857.5,CA_1
2013-10-31,64541.5,CA_1
2013-11-30,60231.5,CA_1
2013-12-31,60210.5,CA_1
2014-01-31,60609.0,CA_1
2014-02-28,58210.0,CA_1
2014-03-31,65377.5,CA_1
2014-04-30,64463.5,CA_1
2014-05-31,66951.5,CA_1
2014-06-30,66682.5,CA_1
2014-07-31,68411.5,CA_1
2014-08-31,71239.5,CA_1
2014-09-30,68001.5,CA_1
2014-10-31,71684.0,CA_1
2014-11-30,68705.0,CA_1
2014-12-31,66832.0,CA_1
2015-01-31,68964.5,CA_1
2015-02-28,64605.0,CA_1
2015-03-31,72076.0,CA_1
2015-04-30,72264.0,CA_1
2015-05-31,75998.0,CA_1
2015-06-30,72298.0,CA_1
2015-07-31,74697.0,CA_1
2015-08-31,75932.5,CA_1
2015-09-30,71784.0,CA_1
2015-10-31,75406.5,CA_1
2015-11-30,68448.0,CA_1
2015-12-31,68802.0,CA_1
2016-01-31,72716.0,CA_1
2016-02-29,69137.5,CA_1
2016-03-31,75264.0,CA_1
2016-04-30,76562.5,CA_1
2016-05-31,58837.0,CA_1
2011-01-31,3883.0,CA_2
2011-02-28,33688.0,CA_2
2011-03-31,37151.0,CA_2
2011-04-30,36194.0,CA_2
2011-05-31,37155.0,CA_2
2011-06-30,37107.5,CA_2
2011-07-31,40197.0,CA_2
2011-08-31,39507.5,CA_2
2011-09-30,39396.5,CA_2
2011-10-31,41906.0,CA_2
2011-11-30,38639.0,CA_2
2011-12-31,40041.0,CA_2
2012-01-31,41209.0,CA_2
2012-02-29,39912.0,CA_2
2012-03-31,44434.0,CA_2
2012-04-30,43378.5,CA_2
2012-05-31,45019.0,CA_2
2012-06-30,47222.5,CA_2
2012-07-31,48529.0,CA_2
