,unique_id,ds,XGBRegressor,SVR,LinearRegression,RandomForestRegressor,y
0,CA,2015-05-31,257818.54663085938,259233.3197589694,259516.46981103544,260224.365,269301.5
1,CA,2015-06-30,256066.30767822266,256438.40195406228,256748.71797312886,259486.93,269189.0
2,CA,2015-07-31,261771.17681884766,262732.36690964503,263081.9115446732,265717.325,282488.0
3,CA,2015-08-31,266836.37115478516,269347.334838453,269927.97252276895,272893.175,292115.0
4,CA,2015-09-30,257472.72918701172,260689.4276649658,261401.2314925099,265648.71499999997,279195.5
5,CA,2015-10-31,264126.3353881836,268631.15379000985,269336.931829232,273915.725,293970.5
6,CA,2015-11-30,250136.40713500977,254734.0252395129,255593.79761835362,260783.76499999998,266826.0
7,CA,2015-12-31,241031.97735595703,245471.77101292586,246343.32907036637,252380.87,266258.0
8,CA,2016-01-31,254235.2758178711,257608.06810316799,258558.75249798718,265336.245,285662.5
9,CA,2016-02-29,236724.8031616211,241100.26804637734,242205.75967657412,249563.94999999998,274526.5
10,CA,2016-03-31,264113.0479888916,268429.0604811005,269632.85023285047,277239.01499999996,296918.0
11,CA,2016-04-30,260502.56605529785,263843.47086122906,265167.76390476595,272975.65499999997,302751.0
12,CA,2016-05-31,263918.5506134033,267963.8088778093,269677.8432880267,278478.915,233307.5
13,CA_1,2015-05-31,74643.54946899414,74153.03062598244,74168.1294488138,75227.305,75998.0
14,CA_1,2015-06-30,74399.14042282104,73946.03848084182,73905.96822606209,75504.51999999999,72298.0
15,CA_1,2015-07-31,76020.10102462769,75574.19729826633,75510.14644196971,77338.62499999999,74697.0
16,CA_1,2015-08-31,78273.85987472534,78068.21948824749,78085.5780065286,79605.72499999999,75932.5
17,CA_1,2015-09-30,75035.74498075247,74844.72777015703,74889.54429228794,75911.555,71784.0
18,CA_1,2015-10-31,79016.81071561575,78419.95933545307,78468.92714114435,79403.73499999999,75406.5
19,CA_1,2015-11-30,76037.69582164288,75355.27376480534,75469.13965141315,76151.04999999999,68448.0
